Detected 1000 files
Ranking structures according to sum of terms: DIPL_w CS_w CDIH BOND ANGL IMPR EEFX

Filename                               TOTAL      DIPL_w     CS_w       CDIH       BOND       ANGL       IMPR       EEFX       R_CSA_w    R_DC_w    
../out.refine/hybrid_988.sa            -175.39    0.08       0.00       0.00       3.86       59.16      24.02      -262.51    0.5970     0.6899    
../out.refine/hybrid_814.sa            -161.52    0.10       0.00       1.05       5.19       60.59      18.26      -246.71    0.6366     0.6245    
../out.refine/hybrid_822.sa            -160.66    0.00       0.05       1.14       2.58       56.48      23.82      -244.73    0.6368     0.6677    
../out.refine/hybrid_313.sa            -159.65    0.00       0.00       0.00       3.95       58.97      25.14      -247.71    0.6069     0.6732    
../out.refine/hybrid_379.sa            -155.32    0.01       0.55       0.04       6.91       70.30      23.57      -256.70    0.6237     0.5953    
../out.refine/hybrid_808.sa            -152.52    0.06       0.00       0.00       6.07       64.59      24.16      -247.40    0.6528     0.5984    
../out.refine/hybrid_570.sa            -152.48    1.63       0.94       3.42       3.74       57.60      20.69      -240.50    0.6080     0.7022    
../out.refine/hybrid_107.sa            -150.85    0.06       0.00       2.64       1.89       54.46      31.89      -241.79    0.6717     0.6853    
../out.refine/hybrid_753.sa            -149.86    0.04       0.34       0.03       3.59       57.16      22.44      -233.46    0.6356     0.6464    
../out.refine/hybrid_177.sa            -149.09    0.06       0.00       2.43       1.76       54.00      27.58      -234.92    0.7219     0.6612    
../out.refine/hybrid_638.sa            -148.04    0.02       0.00       0.00       5.11       61.85      23.21      -238.23    0.6488     0.6278    
../out.refine/hybrid_123.sa            -146.37    0.03       0.05       0.00       2.98       56.84      26.86      -233.13    0.6511     0.7191    
../out.refine/hybrid_184.sa            -145.98    0.12       0.00       0.99       2.54       56.74      26.52      -232.89    0.5843     0.6057    
../out.refine/hybrid_303.sa            -145.51    1.27       0.00       6.14       3.98       59.32      23.20      -239.42    0.6750     0.6560    
../out.refine/hybrid_956.sa            -145.26    0.51       0.86       0.00       3.88       57.95      23.16      -231.62    0.5816     0.6663    
../out.refine/hybrid_716.sa            -144.99    0.21       0.01       0.01       2.98       56.19      29.34      -233.73    0.6318     0.6933    
../out.refine/hybrid_597.sa            -141.62    0.17       0.00       4.33       3.42       57.03      18.96      -225.53    0.6536     0.7512    
../out.refine/hybrid_147.sa            -139.32    0.10       0.00       0.00       5.79       63.15      27.22      -235.58    0.6337     0.6802    
../out.refine/hybrid_615.sa            -139.12    0.07       0.00       0.00       5.61       63.44      25.20      -233.44    0.6289     0.6033    
../out.refine/hybrid_706.sa            -139.04    0.01       0.04       0.00       5.44       64.59      26.33      -235.45    0.6371     0.6026    
